target_kappaR,actual_kappaR,delta,delta_over_pi,Fbar,Pi_left
8.0,7.958061119737911,0.0,0.0,0.0017781284862597273,-3.2990134674031063e-16
8.0,7.958061119737911,0.09817477042468103,0.03125,0.001769584415541451,0.0002573200351125121
8.0,7.958061119737911,0.19634954084936207,0.0625,0.0017440276489383067,0.0005121524312492022
8.0,7.958061119737911,0.2945243112740431,0.09375,0.001701686064544741,0.0007620342754019625
8.0,7.958061119737911,0.39269908169872414,0.125,0.0016429436210827425,0.0010045518258514196
8.0,7.958061119737911,0.4908738521234052,0.15625,0.0015683436182964948,0.0012373643915828546
8.0,7.958061119737911,0.5890486225480862,0.1875,0.0014785886657501298,0.0014582273570372642
8.0,7.958061119737911,0.6872233929727672,0.21875,0.0013745353332966842,0.001665014069606754
8.0,7.958061119737911,0.7853981633974483,0.25,0.0012571832247101414,0.001855736330206439
8.0,7.958061119737911,0.8835729338221293,0.28125,0.0011276600858189099,0.0020285632686364084
8.0,7.958061119737911,0.9817477042468103,0.3125,0.0009872057031652985,0.0021818384400758076
8.0,7.958061119737911,1.0799224746714913,0.34374999999999994,0.00083715727582661,0.0023140950363377873
8.0,7.958061119737911,1.1780972450961724,0.375,0.0006789377110338411,0.002424069153496536
8.0,7.958061119737911,1.2762720155208536,0.40625000000000006,0.0005140464832929512,0.0025107110875559942
8.0,7.958061119737911,1.3744467859455345,0.4375,0.0003440511397451341,0.0025731946400285996
8.0,7.958061119737911,1.4726215563702154,0.46874999999999994,0.00017057693790084802,0.0026109244108701284
8.0,7.958061119737911,1.5707963267948966,0.5,-4.707274076621418e-06,0.0026235410470232725
8.0,7.958061119737911,1.6689710972195777,0.53125,-0.000180107280259011,0.002610924410870195
8.0,7.958061119737911,1.7671458676442586,0.5625,-0.00035392442457234753,0.002573194640028733
8.0,7.958061119737911,1.8653206380689396,0.59375,-0.0005244767077374454,0.002510711087556193
8.0,7.958061119737911,1.9634954084936207,0.625,-0.0006901175120014591,0.002424069153496797
8.0,7.958061119737911,2.061670178918302,0.65625,-0.0008492505368288201,0.0023140950363381083
8.0,7.958061119737911,2.1598449493429825,0.6874999999999999,-0.0010003412607131083,0.0021818384400761844
8.0,7.958061119737911,2.2580197197676637,0.71875,-0.0011419267768929594,0.0020285632686368373
8.0,7.958061119737911,2.356194490192345,0.75,-0.0012726264649606405,0.0018557363302069145
8.0,7.958061119737911,2.454369260617026,0.78125,-0.0013911553565139389,0.0016650140696072716
8.0,7.958061119737911,2.552544031041707,0.8125000000000001,-0.0014963404918877429,0.0014582273570378193
8.0,7.958061119737911,2.650718801466388,0.84375,-0.0015871387527974764,0.0012373643915834418
8.0,7.958061119737911,2.748893571891069,0.875,-0.0016626534245489017,0.0010045518258520328
8.0,7.958061119737911,2.84706834231575,0.90625,-0.0017221466701447658,0.000762034275402595
8.0,7.958061119737911,2.945243112740431,0.9374999999999999,-0.0017650462462428312,0.0005121524312498514
8.0,7.958061119737911,3.043417883165112,0.96875,-0.001790946664978589,0.0002573200351131693
8.0,7.958061119737911,3.141592653589793,1.0,-0.001799606780372286,3.298007483429344e-16
8.0,7.958061119737911,3.2397674240144743,1.03125,-0.0017909466649786389,-0.0002573200351125126
8.0,7.958061119737911,3.3379421944391554,1.0625,-0.001765046246242925,-0.0005121524312492034
8.0,7.958061119737911,3.436116964863836,1.09375,-0.0017221466701449022,-0.0007620342754019616
8.0,7.958061119737911,3.5342917352885173,1.125,-0.0016626534245490847,-0.0010045518258514198
8.0,7.958061119737911,3.6324665057131984,1.15625,-0.001587138752797698,-0.0012373643915828548
8.0,7.958061119737911,3.730641276137879,1.1875,-0.0014963404918880072,-0.0014582273570372642
8.0,7.958061119737911,3.8288160465625602,1.21875,-0.0013911553565142429,-0.0016650140696067538
8.0,7.958061119737911,3.9269908169872414,1.25,-0.0012726264649609753,-0.0018557363302064392
8.0,7.958061119737911,4.025165587411922,1.28125,-0.0011419267768933287,-0.002028563268636408
8.0,7.958061119737911,4.123340357836604,1.3125,-0.0010003412607135008,-0.0021818384400758076
8.0,7.958061119737911,4.221515128261284,1.34375,-0.0008492505368292379,-0.0023140950363377873
8.0,7.958061119737911,4.319689898685965,1.3749999999999998,-0.0006901175120018981,-0.002424069153496536
8.0,7.958061119737911,4.417864669110647,1.40625,-0.0005244767077378905,-0.0025107110875559942
8.0,7.958061119737911,4.516039439535327,1.4375,-0.00035392442457281076,-0.0025731946400285996
8.0,7.958061119737911,4.614214209960009,1.46875,-0.00018010728025947593,-0.0026109244108701284
8.0,7.958061119737911,4.71238898038469,1.5,-4.707274077089509e-06,-0.0026235410470232734
8.0,7.958061119737911,4.81056375080937,1.53125,0.00017057693790038583,-0.002610924410870196
8.0,7.958061119737911,4.908738521234052,1.5625,0.0003440511397446791,-0.002573194640028734
8.0,7.958061119737911,5.006913291658733,1.59375,0.0005140464832925026,-0.0025107110875561933
8.0,7.958061119737911,5.105088062083414,1.6250000000000002,0.0006789377110334109,-0.002424069153496797
8.0,7.958061119737911,5.203262832508095,1.65625,0.0008371572758262009,-0.0023140950363381083
8.0,7.958061119737911,5.301437602932776,1.6875,0.000987205703164907,-0.002181838440076185
8.0,7.958061119737911,5.399612373357457,1.71875,0.0011276600858185475,-0.002028563268636837
8.0,7.958061119737911,5.497787143782138,1.75,0.00125718322470981,-0.0018557363302069154
8.0,7.958061119737911,5.595961914206819,1.78125,0.001374535333296381,-0.0016650140696072738
8.0,7.958061119737911,5.6941366846315,1.8125,0.0014785886657498707,-0.0014582273570378202
8.0,7.958061119737911,5.792311455056181,1.84375,0.0015683436182962758,-0.0012373643915834422
8.0,7.958061119737911,5.890486225480862,1.8749999999999998,0.0016429436210825595,-0.0010045518258520341
8.0,7.958061119737911,5.988660995905543,1.90625,0.0017016860645446062,-0.0007620342754025957
8.0,7.958061119737911,6.086835766330224,1.9375,0.0017440276489382215,-0.000512152431249852
8.0,7.958061119737911,6.1850105367549055,1.96875,0.0017695844155414054,-0.00025732003511316927
